id;db;Marca temporal;Correo electrónico;Nombre de la empresa;Dirección de la empresa;Teléfono de contacto;Por favor indique el número de colaboradores que tiene su empresa o comercio;¿En su empresa o comercio cuentan con colaboradoras mujeres?;Por favor indique el número de mujeres que trabajan en su empresa o comercio;Porcentaje mujeres;De sus empleadas mujeres, ¿Cuántas hacen parte de la cadena de distribución del negocio (conducen, reparten domicilios, acompañan las entregas, etc.)?;% mujeres en la distribución;De las mujeres vinculadas a la cadena logística de su empresa o comercio ¿Cuántas están vinculadas por contrato laboral?;% mujeres vinculadas;Entre sus colaboradoras mujeres, alguna(s) se identifica(n) con los siguientes grupos poblacionales:;¿Acompañan y/o apoyan el proceso formativo de las mujeres que hacen parte de la cadena logística?;Por favor, indique dentro de la siguientes categorías, cuál se relaciona con la actividad realizada en su comercio:;De acuerdo al listado señale en orden de importancia las 3 principales actividades comerciales que se desarrollan en su establecimiento:;Productos principales;¿Su establecimiento cuenta con espacio de bodega o almacenamiento de mercancías o productos?;¿Con cuántos espacios de bodega cuenta?;¿En qué piso se ubica(n) la(s) bodegas que sirven a su empresa o comercio?;Por favor, indique el área de la bodega que sirve a su comercio en metros cuadrados:;Por favor, indique la altura en metros de la bodega que sirve a su comercio:;¿El(los) espacio(s) de bodega están ubicados al interior de la ZUAP?;¿En qué municipio se encuentra ubicada la bodega que sirve a su comercio?;Por favor, indique el tipo de bodega con la que cuenta:;Por favor, seleccione los días en los cuales recibe materiales, materias primas o productos:;¿Cuántas veces por semana abastece su establecimiento?;Por favor, indique los horarios durante los cuales realiza las actividades de cargue y descargue de las mercancías:;Por favor, indique la forma en la que ingresa la mercancía a su comercio o área de bodega:;"En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en camión, carro o motocicleta es?";"En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en bicicleta es?";¿El establecimiento o bodega posee alguno de los siguientes elementos para el cargue y descargue de mercancías?;¿Qué medio realiza para el envío de sus artículos a domicilio?;¿Cuántos domicilios realiza a diario su establecimiento?;¿Qué medio realiza para el envío de sus ventas por internet?;¿Cuántos envíos de artículos vendidos por internet realiza a diario su establecimiento?;Ir al fin de la encuesta.;De acuerdo con el tipo de carga que distribuye su empresa, indique máximo 3 tipos en el siguiente listado:;¿El origen de la mercancía que transporta es el Valle de Aburrá?;Por favor, indique el municipio:;Por favor, indique cuántas entregas hace en el centro de Medellín al día:;Por favor, indique el número de establecimientos que surte en el centro de Medellín a diario:;¿Cuántos pedidos recibe su empresa diariamente que tienen como destino el centro de Medellín?;Por favor indique la cantidad de vehículos con combustión a diésel (ACPM) con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con combustión a gasolina con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con combustión a gas natural vehicular (GNV) con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con motor eléctrico con los que cuenta su empresa:;Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos anteriores a 1990];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 1991 y 2000];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2001 y 2010];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2011 y 2015];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos del 2016 en adelante];¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a ACPM?;¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a gasolina?;¿Cuánto es el rendimiento en metros cúbicos/kilómetro, de sus vehículos a GNV?;¿Cuánto es el rendimiento kilowatt-hora, de sus vehículos eléctricos?;¿Cuánto es el costo total por movilizar un camión cargado hacia el centro de Medellín?;¿Cuántas horas al volante permanece durante un turno de reparto una/un conductora/or en su empresa?;"De acuerdo con la siguiente escala, donde 1 es ""Muy compleja"" y 5 es ""Muy adecuada"" ¿Cómo considera la relación de sus conductores con los demás actores viales (peatones, ciclistas, conductores, transporte público) en el espacio público de la ZUAP?";¿Al interior de su empresa se realizan actividades que promuevan la actividad física entre sus calaboradoras/es?;¿Qué actividades se realizan?;¿Cuántas veces por semana se realizan actividades para promover la actividad física?;¿Conoce usted el Decreto No 1790 de noviembre 20 de 2012 (Decreto de Zona Amarilla o de cargue y descargue en el centro de la ciudad)?
102;dt;26/05/2022 10:05;ferdinando.cardona@gmail.com ;Andrés seprum;CRA 53 45 54;3014932370;2;Sí;2;100%;1;50%;1;50%;Madres cabeza de familia;No;Venta al detalle;Confección y moda;Moda y textiles;Interno;1;1;40;4;Sí;Medellín;Recepción de mercancías;Lunes;2;08:00 a 09:00, 19:00 a 20:00;En camión, se descarga internamente;5;2;Carretilla;Caminata;2;No se realizan ventas por internet;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
103;dt;26/05/2022 9:56;ferdinando.cardona@gmail.com ;Cafetería y restaurante de Oriente ;CRA 53 45 18;3207446360;4;Sí;3;75%;1;33%;1;33%;Madres cabeza de familia;No;Proveedor;Restaurante;Restauración;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00, 17:00 a 18:00;"En carreta ""zorrilla""";5;5;Carretilla, No;Caminata;15;No se realizan ventas por internet;1;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
104;dt;25/05/2022 13:05;js491483@gmail.com;Elec Industrial ;Cl 53 54 96;3104114270-3215200280;3;No;;0%;;;;;;;Proveedor Ferretería;Venta de materiales de construcción Ferretería;Materiales de construcción;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;3;09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;En vehículo particular;5;5;NA;Na;0;Na;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
105;dt;25/05/2022 12:59;Na;Salon Aristos;Cr 48 50 56;3218318626;8;Sí;7;88%;0;0%;7;100%;Madres cabeza de familia, Mujeres pertenecientes a grupos étnicos;Sí;Proveedor ocio;Bares ocio;Bares y ocio;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;5;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;En camión, en vías aledañas;5;5;NA;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
106;dt;25/05/2022 12:55;Alejo-pinillos-6@hotmail.com;Tiendas a sus manos ;Cl 51 47 33;3183564461;3;Sí;2;67%;0;0%;2;100%;Ninguna de las anteriores;Sí;Venta al detalle;Elementos misceláneos;Artículos para el hogar;No;0;;;;;;;Martes, Miércoles;2;09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;En motocicleta;5;5;Na;No se realizan domicilios;0;Na;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
107;dt;25/05/2022 12:45;Na;La Gaferia;Cr 47 50 75;3012645638;4;Sí;2;50%;0;0%;0;0%;Ninguna de las anteriores;Sí;Venta al detalle Servicio de venta lentes ;Servicios de salud Servicio de venta lentes ;Productos médicos y de salud;No;0;;;;;;;Lunes, Jueves;2;08:00 a 09:00, 09:00 a 10:00;En vehículo particular;5;5;No se requiere lis paquetes vson pequeños sebtraen a mano ;Motocicleta;5;Motocicleta;5;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
108;dt;25/05/2022 12:39;Textimedicos@hotmail.com;Textimédicos;Cl50 45 36;3052901590;3;Sí;3;100%;0;0%;3;100%;Madres cabeza de familia;Sí;Venta al detalle Textiles Venta uniformes médicos dotación hospitalaria ;Confección y moda Textiles Venta uniformes médicos dotación hospitalaria ;Moda y textiles;Interno;1;1;6;2;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes;3;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;"En carreta ""zorrilla""";5;5;NA;Motocicleta, Vehículo particular;4;Bicicleta de carga, Vehículo particular, Van;4;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
109;dt;25/05/2022 12:34;laryvera.optica@gmail.com;Vóptica;Cr 46 # 50 18;3059035079;3;Sí;2;67%;0;0%;2;100%;Madres cabeza de familia;Sí;Venta al detalle Óptica ;Servicios de salud Óptica ;Productos médicos y de salud;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;3;09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;En vehículo particular;5;5;No es necesario entra oaquete manual ;Motocicleta, Vehículo particular;6;Motocicleta, Vehículo particular, Van;6;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
110;dt;25/05/2022 12:29;puntodeventatienda@gmail.com;Tienda Médica ;Cl 50 44 52;3103808549;5;Sí;2;40%;0;0%;2;100%;Ninguna de las anteriores;Sí;Venta al detalle Venta de productos médicos ortopédicos ;Servicios de salud Venta de productos médicos ortopédicos ;Productos médicos y de salud;No;0;;;;;;;Martes, Miércoles, Jueves;2;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;En camión, estacionado en zona bahía y la ingresa la empresa transportadora;5;5;Carretilla;Vehículo particular, Van;5;Vehículo particular, Van;5;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
111;dt;24/05/2022 15:42;silleteriaeltio@gmail.com;SILLERÍA EL TIO;cl 50  54 46;3147515954;3;No;;0%;;;;;;;Proveedor Silleteria;Servicios de transporte y distribución de mercancías Silleteria;Mensajería;Interno;1;1;30;3;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;3;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;5;5;Carretilla;Vehículo particular;4;Van;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
112;dt;24/05/2022 15:17;sergiohenaoquintero20@gmail.com;Amueblate;Cl 50 54 50;3153717671;5;Sí;2;40%;0;0%;2;100%;Madres cabeza de familia;Sí;Proveedor Venta muebles peluquería ;Venta de productos de belleza Venta muebles peluquería ;Cosméticos y productos de belleza;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;3;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00;En camión, sobre la vía;5;5;Carretilla;Vehículo particular;4;Vehículo particular;4;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
113;dt;24/05/2022 15:11;NA;ARTIMEU;Cl 50  54 32;3122915799;2;Sí;2;100%;0;0%;2;100%;Ninguna de las anteriores;Sí;Venta al detalle;Elementos ortopédicos ;Productos médicos y de salud;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;5;08:00 a 09:00, 09:00 a 10:00;En vehículo particular;5;5;Carretilla;Vehículo particular;3;Vehículo particular;4;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
114;dt;24/05/2022 13:59;No Aplica;SUTEXTIL;Cl 48 # 53 106;512 93 57;11;Sí;8;73%;0;0%;1;13%;Madres cabeza de familia;Sí;Ventas por internet;Confección y moda;Moda y textiles;Externo, propio;1;1;10;7;No;Bogota D.C. ;Recepción de mercancías;Martes;La periodicidad es quincenal;09:00 a 10:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;5;5;Carretilla, Rampa fija;Motocicleta;3;Caminata;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
115;dt;24/05/2022 13:53;No Aplica;La Bodeguita;Cl 48 #53 94 Local 111C;231 35 08 \ 313 660 49 95;2;Sí;2;100%;0;0%;1;50%;Madres cabeza de familia;Sí;Venta al detalle Ropa para Dama;Confección y moda Ropa para Dama;Moda y textiles;No;0;;;;;;;Miércoles;La periodicidad es mensual;10:00 a 11:00;"En camión, estacionado en bahía y la ingresa el personal de mi empresa, En motocicleta, En carreta ""zorrilla""";5;4;Carretilla;Motocicleta;2;Motocicleta;1;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
116;dt;24/05/2022 13:47;No Aplica;Bodys Softy ;Cl 48 # 53 78;311 580 75 28;3;Sí;3;100%;0;0%;1;33%;Madres cabeza de familia;Sí;Venta al detalleLenceríapara mujer.;Confección y modaLenceríapara mujer.;Moda y textiles;No;0;;;;;;;Lunes, Jueves;La periodicidad es mensual;06:00 a 07:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa, En vehículo particular;5;4;Carretilla;Motocicleta;3;Motocicleta;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
117;dt;24/05/2022 13:39;ventas.mundial@une.net.co;MCJ MEDELLIN ;Cl 48 #53 74 ;444 86 25 / 320 772 93 37 ;3;Sí;3;100%;0;0%;1;33%;Madres cabeza de familia;Sí;Venta al detalle;Confección y moda;Moda y textiles;Interno;1;2;1;2;Sí;Medellín;Recepción de mercancías;Miércoles;La periodicidad es quincenal;09:00 a 10:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;5;5;Carretilla, Rampa fija;Motocicleta;3;Motocicleta;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
118;dt;24/05/2022 13:31;No Aplica;Accesorios Dimar;Cl 48 #53 62 Local 192;231 57 74 / 300 228 75 85 ;3;Sí;3;100%;0;0%;1;33%;Madres cabeza de familia;Sí;Venta al detalleRopa de cama;LenceríaRopa de cama;Moda y textiles;Interno;1;2;2;3;Sí;Medellín;Recepción de mercancías;Martes, Viernes;4;09:00 a 10:00;En vehículo particular;4;4;Carretilla;Motocicleta;4;Motocicleta;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
119;dt;24/05/2022 12:36;gallegoelkin324@gmail.com;Distritodo los Primos;Kr 51 # 53 87;3212459071;3;No;;0%;;;;;;;Venta al detalle Cigarrería Supermercados;Confitería Cigarrería Supermercados;Cacao, chocolate y confitería;Interno;1;1;40;3;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00;"En carreta ""zorrilla""";5;5;Carretilla;"Carreta ""zorrilla""";4;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
120;dt;24/05/2022 12:27;No tiene;El Palacio ;Calle 51 # 53 59;3117382781;4;Sí;2;50%;0;0%;2;100%;Madres cabeza de familia;No;Venta al detalle Venta de calzado;Elementos misceláneos Venta de calzado;Artículos para el hogar;Interno;1;1;16;2;Sí;Medellín;Almacenamiento de inventarios;Miércoles, Viernes;2;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00;"En carreta ""zorrilla""";4;1;Carretilla;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
121;dt;24/05/2022 11:57;bancarrieljunin@gmail.com;Compraventa Junin;Kr 52 # 53 63;6044082211;2;Sí;2;100%;0;0%;2;100%;Ninguna de las anteriores;No;Venta al detalle;Compraventa de artículos ;Compraventa;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00;En motocicleta;5;5;Ningún ;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
122;dt;24/05/2022 11:52;admonce@franciscomurillo.com.co;Francisco Murillo SAS;Kr 52 # 53 55;6042292;28;Sí;3;11%;0;0%;3;100%;Madres cabeza de familia;No;Venta al detalle;Venta de materiales de construcción;Materiales de construcción;Interno;3;3;80;2;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00;En camión, estacionado en zona bahía y la ingresa la empresa transportadora;4;1;Carretilla;Vehículo particular;2;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
123;dt;24/05/2022 11:40;Casa.veracruz@hotmail.com;Casa Comercial Veracruz ;Kr 52 # 53 22;4797609;4;Sí;1;25%;0;0%;1;100%;Ninguna de las anteriores;No;Venta al detalle;Compra y venta de artículos ;Artículos para el hogar;Interno;1;1;15;2;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;3;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00;En camión, sobre la vía;3;1;Carretilla;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
124;dt;24/05/2022 11:25;No tiene;Manchas Litográficas;Kr 52 # 53 22;5118921;6;Sí;2;33%;0;0%;2;100%;Madres cabeza de familia;No;Venta al detalle;Litografía ;Papelería;Interno;1;1;12;2;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00;"En carreta ""zorrilla""";5;5;Carretilla;Caminata;3;Caminata;3;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
125;dt;23/05/2022 16:42;No aplica;Bslconcito del 3 vías;Calle 48 53 44 local 201;2999779;6;Sí;3;50%;0;0%;3;100%;Madres cabeza de familia, Migrantes;No;Venta al detalle;Restaurante;Restauración;Interno;1;1;16;2;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;"En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla"", En vehículo particular";5;1;Carretilla;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
126;dt;23/05/2022 16:39;Optimuscoffee@gmail.com;Optimu's coffee;Calle 48 53 44 local cafetería 1 piso;3003275674;2;Sí;2;100%;0;0%;2;100%;Madres cabeza de familia;No;Venta al detalle Cigarrería;Restaurante Cigarrería;Restauración;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00;"En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En motocicleta, En carreta ""zorrilla""";5;2;Carretilla;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
127;dt;22/05/2022 18:02;No Aplica;Confecciones Dotacin;Kr 54 # 48 57 local 254;311 733 13 11;4;Sí;3;75%;0;0%;1;33%;Madres cabeza de familia;Sí;Venta al detalle Dotaciones empresariales.;Confección y moda Dotaciones empresariales.;Moda y textiles;Interno;1;1;2;2;Sí;Medellín;Almacenamiento de inventarios;Jueves;La periodicidad es quincenal;09:00 a 10:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;4;4;Carretilla, Rampa fija;Motocicleta;3;Motocicleta;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
128;dt;5/22/2022 11:35:05;Creacionesvalent@hotmail.com;Pasteles horneados;Kra 54 45a54;3218597731;1;Sí;1;100%;0;0%;1;100%;Madres cabeza de familia, Víctimas del conflicto armado;No;Venta al detalle;Pasteles horneados;Productos alimenticios;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00;En bicicleta;5;5;Ninguno;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
129;dt;5/22/2022 11:11:13;Ferrocarril@lo atiendadeltriplex.com;La tienda del triplex;Cr 55 46 42;4481844;5;Sí;1;20%;0;0%;1;100%;Ninguna de las anteriores;Sí;Venta al detalle Madera cruda;Carpintería Madera cruda;Maderas;No;0;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;6 o más;08:00 a 09:00, 12:00 a 13:00;"En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""";3;3;Carretilla;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
130;dt;5/22/2022 11:01:31;Publicidadayc@hotmail.com;A&C publicidad;Kr 45 46 51;5743017;2;No;;0%;;;;;;;Venta al detalle Imprenta;Papelería Imprenta;Papelería;No;0;;;;;;;Lunes;2;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00;En vehículo particular;3;3;Ninguno;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
131;dt;5/21/2022 9:56:02;No Aplica;Yoyo Outlet;Kr 54 # 48 22 ;251 25 15;2;Sí;2;100%;0;0%;1;50%;Madres cabeza de familia;Sí;Proveedor Textiles;Confección y moda Textiles;Moda y textiles;No;0;;;;;;;Miércoles;La periodicidad es mensual;09:00 a 10:00, 17:00 a 18:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;5;3;Carretilla;Motocicleta;3;Motocicleta;3;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
132;dt;5/21/2022 9:49:33;almacenarapos@hotmail.com;Almacen Arapos.;Kr 53 # 48 14 ;557 41 56 / 320 478 70 64;6;Sí;3;50%;0;0%;0;0%;Ninguna de las anteriores;Sí;Proveedor;Confección y moda;Moda y textiles;Externo, alquilado;1;2;4;3;Sí;Medellín;Recepción de mercancías;Miércoles, Sábado;La periodicidad es quincenal;09:00 a 10:00, 17:00 a 18:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;5;4;Carretilla;Motocicleta;3;Motocicleta;3;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
133;dt;5/21/2022 9:27:19;No Aplica;Mundo Materno;Kr 54 #48 56 Local 38;300 722 73 98;5;Sí;3;60%;0;0%;1;33%;Madres cabeza de familia;Sí;Proveedor;Confección y moda;Moda y textiles;Interno;1;1;2;3;Sí;Medellín;Recepción de mercancías;Miércoles;La periodicidad es quincenal;09:00 a 10:00, 17:00 a 18:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;5;4;Carretilla;Motocicleta;2;Motocicleta;3;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
134;dt;5/21/2022 8:57:57;No Aplica;Bebes y Niños ;Kr 54 #48 62 ;311 783 34 42 / 362 92 00;5;Sí;3;60%;0;0%;0;0%;Madres cabeza de familia;Sí;Proveedor;Confección y moda;Moda y textiles;Interno;1;1;2;2;Sí;Medellín;Recepción de mercancías;Miércoles;2;09:00 a 10:00, 17:00 a 18:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;5;4;Carretilla;Motocicleta;3;Motocicleta;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
135;dt;5/21/2022 8:51:36;No Aplica;Lenceria la 54 ;Kr 54 #48 52 Local 1 y 2 ;314 833 69 08;2;Sí;2;100%;1;50%;1;50%;Madres cabeza de familia;Sí;ProveedorRopa de cama;Confección y modaRopa de cama;Moda y textiles;Interno;1;1;3;3;Sí;Medellín;Almacenamiento de inventarios;Miércoles;La periodicidad es quincenal;09:00 a 10:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa;5;3;Carretilla, Rampa fija;Motocicleta;2;Motocicleta;3;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
136;dt;5/20/2022 16:41:59;No Aplica;Wanna con amor;Cl 48 #53 44 local 152 ;310 676 94 35;3;Sí;3;100%;0;0%;1;33%;Madres cabeza de familia;Sí;Venta al detalle Venta de calzado;Confección y moda Venta de calzado;Moda y textiles;Interno;1;1;1;2;Sí;Medellín;Recepción de mercancías;Viernes;La periodicidad es quincenal;09:00 a 10:00;En vehículo particular;4;3;Carretilla;Motocicleta;3;Motocicleta;1;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
137;dt;5/20/2022 16:27:02;tienda_hogar@hotmail.com;Tienda Hogar J.V.R. ;Cl 49 #53 79;313 314 27 53 ;6;Sí;4;67%;0;0%;0;0%;Ninguna de las anteriores;Sí;Proveedor;Electrodomésticos y hogar;Electrodomésticos;Externo, alquilado;1;1;4;3;Sí;Medellín;Recepción de mercancías;Miércoles, Sábado;La periodicidad es quincenal;09:00 a 10:00;En camión, estacionado en bahía y la ingresa el personal de mi empresa, En motocicleta;5;3;Carretilla, Elevador;Caminata, Motocicleta;3;Motocicleta;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
138;dt;5/20/2022 12:38:29;lospuentesnasa@gmail.com;Nasa motos ;Cale 57 # 51d 71;3016607;6;Sí;1;17%;0;0%;1;100%;Ninguna de las anteriores;No;Venta al detalle;Repuestos para motos ;Mecánica;Interno;3;3;80;2;Sí;Medellín;Recepción de mercancías;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;1 vez por semana;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00;En camión, sobre la vía;5;3;Carretilla;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
139;dt;5/20/2022 12:28:37;motofama57@gmail.com;Moto Fama ;Calle 57 # 51d 65;3043787867;9;Sí;2;22%;0;0%;2;100%;Madres cabeza de familia;No;Venta al detalle;Repuestos de moto;Mecánica;Interno;1;2;80;3;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;4;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00;En camión, estacionado en zona bahía y la ingresa la empresa transportadora;4;1;Carretilla;Motocicleta;1;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
