est_address,employees,¿en su empresa o comercio cuentan con colaboradoras mujeres?,female_employees,porcentaje mujeres,female_emplo_distri,women_distri_percentage,female_distri_vincu,hired_women_percentage,female_popg,female_support,economic_activity,specific_activity,main_products,warehouse,number_warehouse,warehouse_floor,warehouse_area,warehouse_height,zuap_warehouse,warehouse_municipality,warehouse_type,supply_day,supply_week,supply_schedule,supply_unloading,supply_safety_percep,supply_bic_safety_perception,warehouse_equipement,delivery_transp_mode,num_deliveries,online_trans_mode,num_online_deliveries
Cll 45 55-90,12,Sí,3.0,0.25,0.0,0.0,3.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Venta de materiales de construcción,materiales de construccion,Interno,5.0,2.0,200.0,5.0,Sí,Medellín,Recepción de mercancías,Sábado,3,04:00 a 05:00,"En camión, se descarga internamente",4,1,Ninguno,Van,6,No se realizan ventas por internet,0
Cll 44a 54 53,5,No,,0.0,,,,,,,Venta al detalle,Recolección de residuos,reciclaje y residuos,Interno,1.0,2.0,50.0,4.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Cll 44a 54-80,4,No,,0.0,,,,,,,Venta al detalle,Productos de aseo,productos de aseo,Interno,1.0,2.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Miércoles, Jueves",2,06:00 a 07:00,"En camión, sobre la vía",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Cra 51 44 69,1,No,,0.0,,,,,,,Venta al detalle,Esencias,articulos para el hogar,No,0.0,,,,,,,"Lunes, Miércoles",2,10:00 a 11:00,En vehículo particular,5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 47 #52a 8,2,No,,0.0,,,,,,,Venta al detalle,Gorras ,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,2,Ninguno,"Motocicleta, Van",2,"Motocicleta, Van",5
Carrera 53#47-19,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Ropa,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es mensual,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",2,1,Ninguno,No se realizan domicilios,0,Caminata,1
Calle 47#52-18 0120,2,Sí,2.0,1.0,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Ropa,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",4,2,Ninguno ,Motocicleta,1,Motocicleta,1
Calle 47#52-18 0121,2,Sí,2.0,1.0,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Jeans,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",1 vez por semana,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,1,Ninguno,No se realizan domicilios,0,"Motocicleta, Van",3
Calle 48#52a-5,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa ,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",1,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 52 46-01,4,Sí,3.0,0.75,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa,moda y textiles,Interno,1.0,2.0,10.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00",En vehículo particular,3,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Cll 48 51 27,27,Sí,20.0,0.7407407407407407,0.0,0.0,20.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Ropa,moda y textiles,Interno,1.0,4.0,20.0,5.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves",4,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",4,5,"Carretilla, Rampa mecánica, Rampa fija",No se realizan domicilios,0,"Motocicleta, Van, Furgón",3
Carrera 51a 46 51 132,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Papelería,papeleria,"Externo, alquilado",1.0,4.0,7.0,3.0,Sí,Medellín,Almacenamiento de inventarios,Jueves,La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla""",4,5,Carretilla,Motocicleta,3,Motocicleta,2
Carrera 52 46 11,1,Sí,1.0,1.0,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Accesorios celular,electronica,"Externo, alquilado",1.0,1.0,3.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",4,4,Ninguno ,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 46 51a 20,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Perfumería,cosmeticos y productos de belleza,Interno,1.0,2.0,50.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla"", En vehículo particular",1,1,Ninguno,"Motocicleta, Van",2,"Motocicleta, Van",2
Carrera 52 #46-09,4,Sí,2.0,0.5,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",4,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Cr 53 47 06  megacentro  local 136,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle Producción de alimentos,Restaurante Producción de alimentos,restauracion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",5,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 46#51a-40,1,No,,0.0,,,,,,,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",3,1,Carretilla,Motocicleta,2,"Motocicleta, Van",1
Calle 48#51a-51 51,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle Ropa,Venta de calzado Ropa,calzado,Interno,1.0,2.0,10.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,1,Carretilla,"Motocicleta, Van",1,No se realizan ventas por internet,0
Carre 52#46-02,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Confección y moda Venta de productos de belleza,Elementos misceláneos Confección y moda Venta de productos de belleza,articulos para el hogar,Interno,1.0,1.0,6.0,2.0,Sí,Medellín,Recepción de mercancías,Martes,1 vez por semana,14:00 a 15:00,"En carreta ""zorrilla""",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 52 46 54,12,Sí,4.0,0.3333333333333333,0.0,0.0,4.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Elementos misceláneos,articulos para el hogar,Interno,1.0,4.0,60.0,5.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, sobre la vía",5,1,"Carretilla, Elevador",No se realizan domicilios,0,"Motocicleta, Van, Furgón",5
Cr 51a #46-30,3,Sí,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,Ninguna de las anteriores,Sí,Venta al detalle,Venta de gorras,moda y textiles,Interno,1.0,1.0,3.0,1.0,Sí,Medellín,Almacenamiento de inventarios,Martes,1 vez por semana,11:00 a 12:00,"En carreta ""zorrilla""",3,2,No,Motocicleta,1,Motocicleta,1
Calle 46 #51a 26 118,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Joyeria,joyas,No,0.0,,,,,,,Martes,La periodicidad es quincenal,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",4,3,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 46 #51a 16,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa de bebe,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla"", En vehículo particular",5,5,Carretilla,"Motocicleta, Van",1,No se realizan ventas por internet,0
Calle 46 51a 32 ,3,No,,0.0,,,,,,,Venta al detalle,Gafas,productos medicos y de salud,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",1,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 52 #46-10,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,Interno,2.0,4.0,10.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",3,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 52 #46 14,5,Sí,3.0,0.6,0.0,0.0,3.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de calzado,calzado,"Externo, alquilado",1.0,2.0,7.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es mensual,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",3,1,Ninguno ,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 51a # 46 66,8,Sí,8.0,1.0,8.0,1.0,8.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Textiles,moda y textiles,Interno,1.0,2.0,40.0,2.0,Sí,Medellín,Almacenamiento de inventarios,Jueves,3,10:00 a 11:00,"En carreta ""zorrilla"", En vehículo particular",5,5,Carretilla,"No se realizan domicilios, Motocicleta",5,No se realizan ventas por internet,0
Carrera 51 # 46 77,2,No,,0.0,,,,,,,Venta al detalle joyería ,Electrodomésticos y hogar joyería ,electrodomesticos,No,0.0,,,,,,,Miércoles,La periodicidad es mensual,16:00 a 17:00,"En carreta ""zorrilla""",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 51 # 46 69,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Madres cabeza de familia,No,Venta al detalle Joyería ,Electrodomésticos y hogar Joyería ,electrodomesticos,Interno,1.0,2.0,24.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,11:00 a 12:00,En vehículo particular,2,4,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 48 #  50 a 13,3,Sí,2.0,0.6666666666666666,2.0,1.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Tienda de mascotas,productos veterinarios y mascotas,Interno,1.0,1.0,8.0,4.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,11:00 a 12:00,"En carreta ""zorrilla""",5,1,Carretilla,"Motocicleta, Van",1,"Motocicleta, Van",3
Carrera 51 46 53,2,No,,0.0,,,,,,,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,Interno,2.0,2.0,30.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,08:00 a 09:00,"En camión, sobre la vía, En vehículo particular",4,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Kr 51 # 46 57,2,No,,0.0,,,,,,,Venta al detalle Joyas y compraventa ,Electrodomésticos y hogar Joyas y compraventa ,electrodomesticos,Interno,1.0,2.0,12.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, en vías aledañas, En carreta ""zorrilla"", En vehículo particular",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 51 # 46 18,1,No,,0.0,,,,,,,Venta al detalle,Accesorios celulares ,electronica,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,10:00 a 11:00,"En motocicleta, En vehículo particular",5,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 46 51 18,10,Sí,7.0,0.7,7.0,1.0,7.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Producción de alimentos,Restaurante Producción de alimentos,restauracion,Interno,1.0,2.0,48.0,3.0,Sí,Medellín,Cuartos fríos,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,17:00 a 18:00,En vehículo particular,5,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 51 # 46 00 módulo 116,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Producción de alimentos,Restaurante Producción de alimentos,restauracion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",6 o más,10:00 a 11:00,"En carreta ""zorrilla""",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 48 # 50a 25,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Madres cabeza de familia,No,Venta al detalle,Venta de calzado,calzado,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,12:00 a 13:00,"En carreta ""zorrilla""",5,5,Carretilla,"No se realizan domicilios, Caminata",0,No se realizan ventas por internet,0
CL 49 # 49 29,15,Sí,9.0,0.6,4.0,0.4444444444444444,9.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Textiles,moda y textiles,Interno,1.0,4.0,320.0,6.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, estacionado en parqueadero propiedad de un tercero, En vehículo particular",5,1,"Rampa fija, Parqueadero de uso interno",No se realizan domicilios,0,No se realizan ventas por internet,0
Kr 49 # 49 13,6,Sí,6.0,1.0,6.0,1.0,6.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de productos de belleza,cosmeticos y productos de belleza,Interno,1.0,1.0,60.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",3,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
CL 46 # 49 15,2,Sí,2.0,1.0,2.0,1.0,2.0,1.0,Migrantes,Sí,Venta al detalle,Tienda de mascotas ,productos veterinarios y mascotas,Interno,1.0,2.0,48.0,4.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, estacionado en parqueadero propiedad de un tercero, En carreta ""zorrilla""",5,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cll 48 # 54 10,10,Sí,5.0,0.5,5.0,1.0,5.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Distribución de valores,servicios financieros,Interno,1.0,2.0,10.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00",En motocicleta,5,1,Parqueadero de uso interno,Motocicleta,100,Motocicleta,0
Kr 49 # 50 72,5,Sí,1.0,0.2,1.0,1.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Textiles,moda y textiles,Interno,1.0,2.0,48.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",5,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 49 # 53 63,7,Sí,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Ropa para todo tipo de mujer. ,moda y textiles,"Externo, compartido con otros comercios",1.0,2.0,6.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Miércoles, Sábado",2,09:00 a 10:00,"En carreta ""zorrilla""",4,3,Carretilla,"Caminata, Motocicleta, Vehículo particular",2,"Motocicleta, Vehículo particular",1
Cl 49 # 53 63 Local 132 ,9,Sí,4.0,0.4444444444444444,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Ropa de hombre y mujer ,moda y textiles,Interno,1.0,1.0,3.0,2.0,Sí,Medellín,Recepción de mercancías,"Martes, Jueves",1 vez por semana,09:00 a 10:00,En vehículo particular,4,2,"Carretilla, Elevador",Vehículo particular,2,Vehículo particular,1
CL 48 # 50a 14,3,Sí,3.0,1.0,2.0,0.6666666666666666,3.0,1.0,Víctimas del conflicto armado,Sí,Venta al detalle Venta de calzado,Textiles Venta de calzado,moda y textiles,Interno,1.0,2.0,50.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Martes, Jueves",2,"10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En carreta ""zorrilla""",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
CL 49 # 56 17,5,Sí,3.0,0.6,2.0,0.6666666666666666,3.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Textiles,moda y textiles,Interno,1.0,1.0,320.0,4.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00","En camión, se descarga internamente, En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, en vías aledañas, En carreta ""zorrilla"", En vehículo particular",5,1,"Carretilla, Parqueadero de uso interno",No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 48 53 46,3,Sí,2.0,0.6666666666666666,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Venta al detalle,Venta de calzado,calzado,Interno,1.0,2.0,4.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Miércoles, Viernes",1 vez por semana,"09:00 a 10:00, 17:00 a 18:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""",4,3,Carretilla,Motocicleta,2,Motocicleta,1
Kr 55 # 48 08,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Textiles,moda y textiles,No,0.0,,,,,,,"Miércoles, Viernes",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla""",5,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 48 53 44 LOCAL 214 CC 3 VIAS,5,Sí,1.0,0.2,1.0,1.0,0.0,0.0,Migrantes,No,Venta al detalle,Venta de calzado,calzado,Interno,1.0,1.0,2.0,3.0,Sí,Medellín,Recepción de mercancías,Miércoles,1 vez por semana,09:00 a 10:00,"En carreta ""zorrilla""",3,3,Rampa fija,No se realizan domicilios,0,"Caminata, Motocicleta",3
CL 48 53 44 LOCAL 184 CC 3 VIAS,4,Sí,1.0,0.25,1.0,1.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Venta de calzado,calzado,"Externo, compartido con otros comercios",1.0,2.0,6.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Martes, Sábado",2,09:00 a 10:00,"En camión, estacionado en parqueadero propiedad de un tercero",4,4,Rampa fija,Motocicleta,2,"Motocicleta, Vehículo particular",2
CLL 48 53 44 LOCAL 123 CC 3 VIAS,3,Sí,3.0,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,Madres cabeza de familia,No,Venta al detalle,Confección y moda,moda y textiles,"Externo, alquilado",1.0,1.0,2.0,2.0,Sí,Medellín,Almacenamiento de inventarios,Miércoles,1 vez por semana,09:00 a 10:00,"En carreta ""zorrilla""",3,3,ninguno ,"Caminata, Motocicleta",1,Motocicleta,2
Calle 46 # 56 42,17,Sí,6.0,0.35294117647058826,0.0,0.0,6.0,1.0,Ninguna de las anteriores,Sí,Proveedor Carpintería Marquetería,Ferretería Carpintería Marquetería,ferreteria,"Externo, propio",3.0,1.0,1200.0,4.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, sobre la vía",1,1,"Carretilla, Descargue a mano",No se realizan domicilios,0,Furgón,10
Kr 55 # 48 02,5,Sí,3.0,0.6,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle Bares ocio,Producción de alimentos Bares ocio,productos alimenticios,Interno,1.0,1.0,6.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",5,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 49 # 53 63 Local 112,11,Sí,6.0,0.5454545454545454,2.0,0.3333333333333333,0.0,0.0,Madres cabeza de familia,No,Proveedor Ropa para Hombre y Mujer. ,Venta de calzado Ropa para Hombre y Mujer. ,calzado,"Externo, alquilado",1.0,2.0,4.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Martes, Viernes",1 vez por semana,08:00 a 09:00,"En camión, sobre la vía, En motocicleta",4,3,Carretilla,"Caminata, Motocicleta, Vehículo particular",2,No se realizan ventas por internet,0
