company_name,est_address,employees,has_female_employees,female_employees,porcentaje mujeres,female_emplo_distri,women_distri_percentage,female_distri_vincu,hired_women_percentage,female_popg,female_support,economic_activity,specific_activity,main_products,warehouse,number_warehouse,warehouse_floor,warehouse_area,warehouse_height,zuap_warehouse,warehouse_municipality,warehouse_type,supply_day,supply_week,supply_schedule,supply_unloading,supply_safety_percep,supply_bic_safety_perception,warehouse_equipement,delivery_transp_mode,num_deliveries,online_trans_mode,num_online_deliveries,supply_frequency_num,econ_main,econ_sub1,econ_sub2
El planeta de la moda,Carrera 53 #43-28,5,Sí,3.0,0.6,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa,moda y textiles,Interno,2.0,2.0,20.0,3.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,,Venta al detalle,,
Fantasía lolas,Calle 45 53a34,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de productos de belleza,cosmeticos y productos de belleza,No,0.0,,,,,,,Jueves,2,"08:00 a 09:00, 12:00 a 13:00, 17:00 a 18:00","En carreta ""zorrilla""",5,2,Ninguna,Motocicleta,3,Motocicleta,2,2,Venta al detalle,,
La lealtad,Cll 44 a 54 14,1,No,,0.0,,,,,nan,,Venta al detalle,Recolección de residuos,reciclaje y residuos,"Externo, alquilado",2.0,2.0,80.0,2.0,yes,Medellín,Recepción de mercancías,Jueves,3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En vehículo particular",5,1,Ninguno,No se realizan domicilios,0,Furgón,3,,Venta al detalle,,
L,Carrera 54 46 48 102,14,Sí,7.0,0.5,1.0,0.14285714285714285,1.0,0.14285714285714285,Mujeres transgénero,Sí,Venta al detalle,Textiles,moda y textiles,Interno,31.0,1.0,30.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Viernes, Sábado",3,10:00 a 11:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa",1,1,Carretilla,"Carreta ""zorrilla""",20,No se realizan ventas por internet,0,,Venta al detalle,,
Carolo,Calle 45 54 45,150,Sí,26.0,0.17333333333333334,0.0,0.0,26.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle Electrodomésticos y hogar,Decoración Electrodomésticos y hogar,articulos para el hogar,Interno,5.0,3.0,380.0,3.0,yes,Medellín,Recepción de mercancías,Sábado,6 o más,"08:00 a 09:00, 09:00 a 10:00","En camión, se descarga internamente",5,1,Ninguno,Furgón,8,No se realizan ventas por internet,0,6,Venta al detalle,Electrodomésticos y hogar,
Creaciones apise,Cra 54 45 23,6,Sí,3.0,0.5,0.0,0.0,3.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle Pijamad,Confección y moda Pijamad,moda y textiles,Interno,1.0,1.0,10.0,3.0,yes,Medellín,Recepción de mercancías,"Martes, Miércoles, Sábado",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00","En camión, sobre la vía",5,1,Ninguno,No se realizan domicilios,0,Motocicleta,5,2,Venta al detalle,Pijamad,
Parafin,Cra 54 45 13,5,Sí,5.0,1.0,0.0,0.0,5.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Parafina y velad,articulos para el hogar,"Externo, alquilado",1.0,1.0,88.0,3.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",2,"07:00 a 08:00, 08:00 a 09:00","En camión, sobre el andén",5,1,Ninguno,Motocicleta,12,Motocicleta,12,2,Venta al detalle,,
Potencial de la construcción,Calle 45 55 18,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Construcción,materiales de construccion,Interno,2.0,1.0,220.0,4.0,yes,Medellín,Recepción de mercancías,Viernes,6 o más,"08:00 a 09:00, 09:00 a 10:00, 11:00 a 12:00, 13:00 a 14:00, 14:00 a 15:00","En camión, se descarga internamente",5,1,Parqueadero de uso interno,Furgón,5,No se realizan ventas por internet,0,6,Venta al detalle,,
Lovaina compraventa,Cra 51 45 23,3,No,,0.0,,,,,nan,,Venta al detalle,Compraventa,compraventa,"Externo, alquilado",1.0,2.0,100.0,3.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, sobre la vía, En motocicleta, En bicicleta, En vehículo particular",3,1,Ninguna,Motocicleta,10,Motocicleta,12,6,Venta al detalle,,
Los franco,Calle 45 65 34,6,Sí,2.0,0.3333333333333333,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Proveedor,Madera,maderas,Interno,2.0,1.0,64.0,5.0,yes,Medellín,Recepción de mercancías,Viernes,6 o más,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Proveedor,,
La cabalgata,Cll 45 55-90,12,Sí,3.0,0.25,0.0,0.0,3.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Venta de materiales de construcción,materiales de construccion,Interno,5.0,2.0,200.0,5.0,yes,Medellín,Recepción de mercancías,Sábado,3,04:00 a 05:00,"En camión, se descarga internamente",4,1,Ninguno,Van,6,No se realizan ventas por internet,0,,Venta al detalle,,
Ecoerma,Cll 44a 54 53,5,No,,0.0,,,,,nan,,Venta al detalle,Recolección de residuos,reciclaje y residuos,Interno,1.0,2.0,50.0,4.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
Indruaseo,Cll 44a 54-80,4,No,,0.0,,,,,nan,,Venta al detalle,Productos de aseo,productos de aseo,Interno,1.0,2.0,20.0,3.0,yes,Medellín,Recepción de mercancías,"Miércoles, Jueves",2,06:00 a 07:00,"En camión, sobre la vía",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,2,Venta al detalle,,
Laksmi,Cra 51 44 69,1,No,,0.0,,,,,nan,,Venta al detalle,Esencias,articulos para el hogar,No,0.0,,,,,,,"Lunes, Miércoles",2,10:00 a 11:00,En vehículo particular,5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,2,Venta al detalle,,
Caps store,Calle 47 #52a 8,2,No,,0.0,,,,,nan,,Venta al detalle,Gorras,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,2,Ninguno,"Motocicleta, Van",2,"Motocicleta, Van",5,2,Venta al detalle,,
Mgngrupoimportador,Carrera 53#47-19,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Ropa,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es mensual,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",2,1,Ninguno,No se realizan domicilios,0,Caminata,1,1,Venta al detalle,,
Mercurio store,Calle 47#52-18 0120,2,Sí,2.0,1.0,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Ropa,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",4,2,Ninguno,Motocicleta,1,Motocicleta,1,5,Venta al detalle,,
Kairos,Calle 47#52-18 0121,2,Sí,2.0,1.0,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Jeans,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",1 vez por semana,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,1,Ninguno,No se realizan domicilios,0,"Motocicleta, Van",3,1,Venta al detalle,,
Almacen el cavernicola,Calle 48#52a-5,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",1,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
Babalu,Carrera 52 46-01,4,Sí,3.0,0.75,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa,moda y textiles,Interno,1.0,2.0,10.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00",En vehículo particular,3,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,2,Venta al detalle,,
La media naranja,Cll 48 51 27,27,Sí,20.0,0.7407407407407407,0.0,0.0,20.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Ropa,moda y textiles,Interno,1.0,4.0,20.0,5.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves",4,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",4,5,"Carretilla, Rampa mecánica, Rampa fija",No se realizan domicilios,0,"Motocicleta, Van, Furgón",3,,Venta al detalle,,
Papelería atlantic,Carrera 51a 46 51 132,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Papelería,papeleria,"Externo, alquilado",1.0,4.0,7.0,3.0,yes,Medellín,Almacenamiento de inventarios,Jueves,La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla""",4,5,Carretilla,Motocicleta,3,Motocicleta,2,2,Venta al detalle,,
Itecnology,Carrera 52 46 11,1,Sí,1.0,1.0,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Accesorios celular,electronica,"Externo, alquilado",1.0,1.0,3.0,3.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",4,4,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,5,Venta al detalle,,
Perfumes y esencias fraiche,Calle 46 51a 20,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Perfumería,cosmeticos y productos de belleza,Interno,1.0,2.0,50.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla"", En vehículo particular",1,1,Ninguno,"Motocicleta, Van",2,"Motocicleta, Van",2,2,Venta al detalle,,
Cacharrería el sol,Carrera 52 #46-09,4,Sí,2.0,0.5,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",4,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
A todo vapor,Cr 53 47 06  megacentro  local 136,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle Producción de alimentos,Restaurante Producción de alimentos,restauracion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",5,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,Producción de alimentos,
Metro hogar HYM,Calle 46#51a-40,1,No,,0.0,,,,,nan,,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",3,1,Carretilla,Motocicleta,2,"Motocicleta, Van",1,2,Venta al detalle,,
Gomelitos shoes kids,Calle 48#51a-51 51,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle Ropa,Venta de calzado Ropa,calzado,Interno,1.0,2.0,10.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,1,Carretilla,"Motocicleta, Van",1,No se realizan ventas por internet,0,2,Venta al detalle,Ropa,
Mundo reloj y gafas,Carre 52#46-02,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Confección y moda Venta de productos de belleza,Elementos misceláneos Confección y moda Venta de productos de belleza,articulos para el hogar,Interno,1.0,1.0,6.0,2.0,yes,Medellín,Recepción de mercancías,Martes,1 vez por semana,14:00 a 15:00,"En carreta ""zorrilla""",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,1,Venta al detalle,Confección y moda,Venta de productos de belleza
Viva hogar,Carrera 52 46 54,12,Sí,4.0,0.3333333333333333,0.0,0.0,4.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Elementos misceláneos,articulos para el hogar,Interno,1.0,4.0,60.0,5.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, sobre la vía",5,1,"Carretilla, Elevador",No se realizan domicilios,0,"Motocicleta, Van, Furgón",5,,Venta al detalle,,
Super caps,Cr 51a #46-30,3,Sí,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,Ninguna de las anteriores,Sí,Venta al detalle,Venta de gorras,moda y textiles,Interno,1.0,1.0,3.0,1.0,yes,Medellín,Almacenamiento de inventarios,Martes,1 vez por semana,11:00 a 12:00,"En carreta ""zorrilla""",3,2,No,Motocicleta,1,Motocicleta,1,1,Venta al detalle,,
La romana,Calle 46 #51a 26 118,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Joyeria,joyas,No,0.0,,,,,,,Martes,La periodicidad es quincenal,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",4,3,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,2,Venta al detalle,,
Gomelitos,Calle 46 #51a 16,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa de bebe,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla"", En vehículo particular",5,5,Carretilla,"Motocicleta, Van",1,No se realizan ventas por internet,0,5,Venta al detalle,,
Óptica real,Calle 46 51a 32,3,No,,0.0,,,,,nan,,Venta al detalle,Gafas,productos medicos y de salud,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",1,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,2,Venta al detalle,,
Surtivariedades,Carrera 52 #46-10,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,Interno,2.0,4.0,10.0,3.0,yes,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",3,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,2,Venta al detalle,,
Maxi tenis,Carrera 52 #46 14,5,Sí,3.0,0.6,0.0,0.0,3.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de calzado,calzado,"Externo, alquilado",1.0,2.0,7.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es mensual,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",3,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,1,Venta al detalle,,
Modas dalia,Carrera 51a # 46 66,8,Sí,8.0,1.0,8.0,1.0,8.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Textiles,moda y textiles,Interno,1.0,2.0,40.0,2.0,yes,Medellín,Almacenamiento de inventarios,Jueves,3,10:00 a 11:00,"En carreta ""zorrilla"", En vehículo particular",5,5,Carretilla,"No se realizan domicilios, Motocicleta",5,No se realizan ventas por internet,0,,Venta al detalle,,
Almacén el rey,Carrera 51 # 46 77,2,No,,0.0,,,,,nan,,Venta al detalle joyería,Electrodomésticos y hogar joyería,electrodomesticos,No,0.0,,,,,,,Miércoles,La periodicidad es mensual,16:00 a 17:00,"En carreta ""zorrilla""",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,1,Venta al detalle,,
Casa comercial la manuela,Carrera 51 # 46 69,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Madres cabeza de familia,No,Venta al detalle Joyería,Electrodomésticos y hogar Joyería,electrodomesticos,Interno,1.0,2.0,24.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,11:00 a 12:00,En vehículo particular,2,4,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,Joyería,
Ciudadhuellitas,Calle 48 #  50 a 13,3,Sí,2.0,0.6666666666666666,2.0,1.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Tienda de mascotas,productos veterinarios y mascotas,Interno,1.0,1.0,8.0,4.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,11:00 a 12:00,"En carreta ""zorrilla""",5,1,Carretilla,"Motocicleta, Van",1,"Motocicleta, Van",3,6,Venta al detalle,,
Compraventa la fe,Carrera 51 46 53,2,No,,0.0,,,,,nan,,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,Interno,2.0,2.0,30.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,08:00 a 09:00,"En camión, sobre la vía, En vehículo particular",4,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
Compraventa el rey,Kr 51 # 46 57,2,No,,0.0,,,,,nan,,Venta al detalle Joyas y compraventa,Electrodomésticos y hogar Joyas y compraventa,electrodomesticos,Interno,1.0,2.0,12.0,2.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, en vías aledañas, En carreta ""zorrilla"", En vehículo particular",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,Joyas y compraventa,
Óptica tranvía,Carrera 51 # 46 18,1,No,,0.0,,,,,nan,,Venta al detalle,Accesorios celulares,electronica,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,10:00 a 11:00,"En motocicleta, En vehículo particular",5,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
la estación: asados y hamburguesas,Calle 46 51 18,10,Sí,7.0,0.7,7.0,1.0,7.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Producción de alimentos,Restaurante Producción de alimentos,restauracion,Interno,1.0,2.0,48.0,3.0,yes,Medellín,Cuartos fríos,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,17:00 a 18:00,En vehículo particular,5,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,Producción de alimentos,
Fríos y calienticos,Carrera 51 # 46 00 módulo 116,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Producción de alimentos,Restaurante Producción de alimentos,restauracion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",6 o más,10:00 a 11:00,"En carreta ""zorrilla""",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,Producción de alimentos,
Tienda pros,Calle 48 # 50a 25,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Madres cabeza de familia,No,Venta al detalle,Venta de calzado,calzado,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,12:00 a 13:00,"En carreta ""zorrilla""",5,5,Carretilla,"No se realizan domicilios, Caminata",0,No se realizan ventas por internet,0,2,Venta al detalle,,
La media naranja Ayacucho,CL 49 # 49 29,15,Sí,9.0,0.6,4.0,0.4444444444444444,9.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Textiles,moda y textiles,Interno,1.0,4.0,320.0,6.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, estacionado en parqueadero propiedad de un tercero, En vehículo particular",5,1,"Rampa fija, Parqueadero de uso interno",No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
Imperio del peluquero,Kr 49 # 49 13,6,Sí,6.0,1.0,6.0,1.0,6.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de productos de belleza,cosmeticos y productos de belleza,Interno,1.0,1.0,60.0,3.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",3,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
Pet stores 46,CL 46 # 49 15,2,Sí,2.0,1.0,2.0,1.0,2.0,1.0,Migrantes,Sí,Venta al detalle,Tienda de mascotas,productos veterinarios y mascotas,Interno,1.0,2.0,48.0,4.0,yes,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, estacionado en parqueadero propiedad de un tercero, En carreta ""zorrilla""",5,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,6,Venta al detalle,,
