id,db,Marca temporal,Nombre de la empresa,Dirección de la empresa,Teléfono de contacto,Por favor indique el número de colaboradores que tiene su empresa o comercio,¿En su empresa o comercio cuentan con colaboradoras mujeres?,Por favor indique el número de mujeres que trabajan en su empresa o comercio,Porcentaje mujeres,"De sus empleadas mujeres, ¿Cuántas hacen parte de la cadena de distribución del negocio (conducen, reparten domicilios, acompañan las entregas, etc.)?",% mujeres en la distribución,De las mujeres vinculadas a la cadena logística de su empresa o comercio ¿Cuántas están vinculadas por contrato laboral?,% mujeres vinculadas,"Entre sus colaboradoras mujeres, alguna(s) se identifica(n) con los siguientes grupos poblacionales:",¿Acompañan y/o apoyan el proceso formativo de las mujeres que hacen parte de la cadena logística?,"Por favor, indique dentro de la siguientes categorías, cuál se relaciona con la actividad realizada en su comercio:",De acuerdo al listado señale en orden de importancia las 3 principales actividades comerciales que se desarrollan en su establecimiento:,Productos principales,¿Su establecimiento cuenta con espacio de bodega o almacenamiento de mercancías o productos?,¿Con cuántos espacios de bodega cuenta?,¿En qué piso se ubica(n) la(s) bodegas que sirven a su empresa o comercio?,"Por favor, indique el área de la bodega que sirve a su comercio en metros cuadrados:","Por favor, indique la altura en metros de la bodega que sirve a su comercio:",¿El(los) espacio(s) de bodega están ubicados al interior de la ZUAP?,¿En qué municipio se encuentra ubicada la bodega que sirve a su comercio?,"Por favor, indique el tipo de bodega con la que cuenta:","Por favor, seleccione los días en los cuales recibe materiales, materias primas o productos:",¿Cuántas veces por semana abastece su establecimiento?,"Por favor, indique los horarios durante los cuales realiza las actividades de cargue y descargue de las mercancías:","Por favor, indique la forma en la que ingresa la mercancía a su comercio o área de bodega:","En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en camión, carro o motocicleta es?","En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en bicicleta es?",¿El establecimiento o bodega posee alguno de los siguientes elementos para el cargue y descargue de mercancías?,¿Qué medio realiza para el envío de sus artículos a domicilio?,¿Cuántos domicilios realiza a diario su establecimiento?,¿Qué medio realiza para el envío de sus ventas por internet?,¿Cuántos envíos de artículos vendidos por internet realiza a diario su establecimiento?,Ir al fin de la encuesta.,"De acuerdo con el tipo de carga que distribuye su empresa, indique máximo 3 tipos en el siguiente listado:",¿El origen de la mercancía que transporta es el Valle de Aburrá?,"Por favor, indique el municipio:","Por favor, indique cuántas entregas hace en el centro de Medellín al día:","Por favor, indique el número de establecimientos que surte en el centro de Medellín a diario:",¿Cuántos pedidos recibe su empresa diariamente que tienen como destino el centro de Medellín?,Por favor indique la cantidad de vehículos con combustión a diésel (ACPM) con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con combustión a gasolina con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con combustión a gas natural vehicular (GNV) con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con motor eléctrico con los que cuenta su empresa:,"Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos anteriores a 1990]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 1991 y 2000]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2001 y 2010]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2011 y 2015]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos del 2016 en adelante]","¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a ACPM?","¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a gasolina?","¿Cuánto es el rendimiento en metros cúbicos/kilómetro, de sus vehículos a GNV?","¿Cuánto es el rendimiento kilowatt-hora, de sus vehículos eléctricos?",¿Cuánto es el costo total por movilizar un camión cargado hacia el centro de Medellín?,¿Cuántas horas al volante permanece durante un turno de reparto una/un conductora/or en su empresa?,"De acuerdo con la siguiente escala, donde 1 es ""Muy compleja"" y 5 es ""Muy adecuada"" ¿Cómo considera la relación de sus conductores con los demás actores viales (peatones, ciclistas, conductores, transporte público) en el espacio público de la ZUAP?",¿Al interior de su empresa se realizan actividades que promuevan la actividad física entre sus calaboradoras/es?,¿Qué actividades se realizan?,¿Cuántas veces por semana se realizan actividades para promover la actividad física?,¿Conoce usted el Decreto No 1790 de noviembre 20 de 2012 (Decreto de Zona Amarilla o de cargue y descargue en el centro de la ciudad)?,establishment_type_clean
110,dt,2022-05-18 16:13:34.550,Distribuidor alhambra,Carrera 52a#46-17,3135979093,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Proveedor,Ropa,Moda y textiles,Interno,2.0,2.0,20.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",5,1,Carretilla,"Caminata, Motocicleta",2,"Caminata, Motocicleta, Van, Furgón",1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,dt,2022-05-18 16:22:02.208,Bellísimas store,Carrera 52a#46 23,3232960393,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Fabricante,Ropa,Moda y textiles,Interno,1.0,1.0,10.0,5.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"10:00 a 11:00, 11:00 a 12:00","En motocicleta, En carreta ""zorrilla""",5,1,Ninguno,Motocicleta,2,"Motocicleta, Van, Furgón",6,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,dt,2022-05-19 12:42:36.069,Matiuus Distribuidor,Calle 47#52a-45 segundo piso,3105070781,9,Sí,6.0,0.6666666666666666,0.0,0.0,6.0,1.0,Madres cabeza de familia,No,Ventas por internet,Elementos misceláneos,Artículos para el hogar,No,0.0,,,,,,,Viernes,1 vez por semana,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00",En vehículo particular,5,2,Ninguno,Motocicleta,10,Motocicleta,10,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,dt,2022-05-17 13:15:08.824,Samaria,Cr 54 46 64,3137677109,4,Sí,2.0,0.5,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Textiles,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 15:00 a 16:00","En carreta ""zorrilla""",1,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,dt,2022-05-17 10:01:50.941,Mundo bebe,Calle 46 53 25,3232272262,2,Sí,1.0,0.5,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Ropa de bebe,Moda y textiles,No,0.0,,,,,,,Jueves,2,10:00 a 11:00,En vehículo particular,5,2,Ninguno,Vehículo particular,2,Motocicleta,2,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,dt,2022-05-17 13:19:55.220,Esmeralda,Cra 54 46 40,3137677109,6,Sí,5.0,0.8333333333333334,0.0,0.0,0.0,0.0,"Madres cabeza de familia, Migrantes",No,Venta al detalle,Textiles,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 18:00 a 19:00","En carreta ""zorrilla""",1,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,dt,2022-05-18 15:20:32.647,Papelería cucuta sas,Kr 54 46 22,6043020325,19,Sí,8.0,0.42105263157894735,0.0,0.0,8.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Papelería,Papelería,Interno,3.0,2.0,120.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""",2,2,Carretilla,"Motocicleta, Furgón, Carreta ""zorrilla""",8,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,dt,2022-05-17 10:51:43.993,Surtido de los públicos,Carrera 53 46 16,310 487 30 27,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Proveedor,Ropa,Moda y textiles,Interno,2.0,2.0,60.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En carreta ""zorrilla""",5,2,Carretilla,"Carreta ""zorrilla""",2,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,dt,2022-05-18 15:34:48.135,El planeta de la moda,Carrera 53 #43-28,3014910019,5,Sí,3.0,0.6,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa,Moda y textiles,Interno,2.0,2.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,dt,2022-05-17 11:04:52.549,Fantasía lolas,Calle 45 53a34,3136870391,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de productos de belleza,Cosméticos y productos de belleza,No,0.0,,,,,,,Jueves,2,"08:00 a 09:00, 12:00 a 13:00, 17:00 a 18:00","En carreta ""zorrilla""",5,2,Ninguna,Motocicleta,3,Motocicleta,2,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,dt,2022-05-17 11:36:57.286,La lealtad,Cll 44 a 54 14,3147611231,1,No,,0.0,,,,,,,Venta al detalle,Recolección de residuos,Reciclaje y residuos,"Externo, alquilado",2.0,2.0,80.0,2.0,Sí,Medellín,Recepción de mercancías,Jueves,3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En vehículo particular",5,1,Ninguno,No se realizan domicilios,0,Furgón,3,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,dt,2022-05-16 12:48:14.424,L,Carrera 54 46 48 102,3137677109,14,Sí,7.0,0.5,1.0,0.14285714285714285,1.0,0.14285714285714285,Mujeres transgénero,Sí,Venta al detalle,Textiles,Moda y textiles,Interno,31.0,1.0,30.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Viernes, Sábado",3,10:00 a 11:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa",1,1,Carretilla,"Carreta ""zorrilla""",20,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,dt,2022-05-17 10:28:08.225,Carolo,Calle 45 54 45,3244159574,150,Sí,26.0,0.17333333333333334,0.0,0.0,26.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle Electrodomésticos y hogar,Decoración Electrodomésticos y hogar,Artículos para el hogar,Interno,5.0,3.0,380.0,3.0,Sí,Medellín,Recepción de mercancías,Sábado,6 o más,"08:00 a 09:00, 09:00 a 10:00","En camión, se descarga internamente",5,1,Ninguno,Furgón,8,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,dt,2022-05-17 11:57:07.868,Creaciones apise,Cra 54 45 23,5112127,6,Sí,3.0,0.5,0.0,0.0,3.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle Pijamad,Confección y moda Pijamad,Moda y textiles,Interno,1.0,1.0,10.0,3.0,Sí,Medellín,Recepción de mercancías,"Martes, Miércoles, Sábado",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00","En camión, sobre la vía",5,1,Ninguno,No se realizan domicilios,0,Motocicleta,5,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,dt,2022-05-17 12:02:38.299,Parafin,Cra 54 45 13,3043724022,5,Sí,5.0,1.0,0.0,0.0,5.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Parafina y velad,Artículos para el hogar,"Externo, alquilado",1.0,1.0,88.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",2,"07:00 a 08:00, 08:00 a 09:00","En camión, sobre el andén",5,1,Ninguno,Motocicleta,12,Motocicleta,12,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,dt,2022-05-17 10:35:07.191,Potencial de la construcción,Calle 45 55 18,3148320954,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Construcción,Materiales de construcción,Interno,2.0,1.0,220.0,4.0,Sí,Medellín,Recepción de mercancías,Viernes,6 o más,"08:00 a 09:00, 09:00 a 10:00, 11:00 a 12:00, 13:00 a 14:00, 14:00 a 15:00","En camión, se descarga internamente",5,1,Parqueadero de uso interno,Furgón,5,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,dt,2022-05-17 12:36:19.684,Lovaina compraventa,Cra 51 45 23,5112285,3,No,,0.0,,,,,,,Venta al detalle,Compraventa,Compraventa,"Externo, alquilado",1.0,2.0,100.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, sobre la vía, En motocicleta, En bicicleta, En vehículo particular",3,1,Ninguna,Motocicleta,10,Motocicleta,12,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,dt,2022-05-17 10:42:44.285,Los franco,Calle 45 65 34,3232306173,6,Sí,2.0,0.3333333333333333,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Proveedor,Madera,Maderas,Interno,2.0,1.0,64.0,5.0,Sí,Medellín,Recepción de mercancías,Viernes,6 o más,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,dt,2022-05-17 10:52:55.102,La cabalgata,Cll 45 55-90,3217811915,12,Sí,3.0,0.25,0.0,0.0,3.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Venta de materiales de construcción,Materiales de construcción,Interno,5.0,2.0,200.0,5.0,Sí,Medellín,Recepción de mercancías,Sábado,3,04:00 a 05:00,"En camión, se descarga internamente",4,1,Ninguno,Van,6,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,dt,2022-05-17 11:42:52.083,Ecoerma,Cll 44a 54 53,3127376280,5,No,,0.0,,,,,,,Venta al detalle,Recolección de residuos,Reciclaje y residuos,Interno,1.0,2.0,50.0,4.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,dt,2022-05-17 11:49:04.601,Indruaseo,Cll 44a 54-80,5017951,4,No,,0.0,,,,,,,Venta al detalle,Productos de aseo,Productos de aseo,Interno,1.0,2.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Miércoles, Jueves",2,06:00 a 07:00,"En camión, sobre la vía",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,dt,2022-05-17 12:31:18.267,Laksmi,Cra 51 44 69,3232272262,1,No,,0.0,,,,,,,Venta al detalle,Esencias,Artículos para el hogar,No,0.0,,,,,,,"Lunes, Miércoles",2,10:00 a 11:00,En vehículo particular,5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,dt,2022-05-19 12:50:03.004,Caps store,Calle 47 #52a 8,3165880085,2,No,,0.0,,,,,,,Venta al detalle,Gorras,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,2,Ninguno,"Motocicleta, Van",2,"Motocicleta, Van",5,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,dt,2022-05-19 12:58:03.869,Mgngrupoimportador,Carrera 53#47-19,3233922055,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Ropa,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es mensual,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",2,1,Ninguno,No se realizan domicilios,0,Caminata,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,dt,2022-05-19 13:07:48.550,Mercurio store,Calle 47#52-18 0120,3116588258,2,Sí,2.0,1.0,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Ropa,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",4,2,Ninguno,Motocicleta,1,Motocicleta,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,dt,2022-05-19 13:15:00.440,Kairos,Calle 47#52-18 0121,3146299549,2,Sí,2.0,1.0,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Jeans,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",1 vez por semana,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,1,Ninguno,No se realizan domicilios,0,"Motocicleta, Van",3,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,dt,2022-05-18 16:31:38.927,Almacen el cavernicola,Calle 48#52a-5,3147145257,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",1,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,dt,2022-05-19 15:20:07.779,Babalu,Carrera 52 46-01,3182753056,4,Sí,3.0,0.75,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ropa,Moda y textiles,Interno,1.0,2.0,10.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00",En vehículo particular,3,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,dt,2022-05-17 11:16:54.386,La media naranja,Cll 48 51 27,3122549646,27,Sí,20.0,0.7407407407407407,0.0,0.0,20.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Ropa,Moda y textiles,Interno,1.0,4.0,20.0,5.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves",4,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",4,5,"Carretilla, Rampa mecánica, Rampa fija",No se realizan domicilios,0,"Motocicleta, Van, Furgón",3,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,dt,2022-05-18 12:25:13.200,Papelería atlantic,Carrera 51a 46 51 132,6045112158,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Papelería,Papelería,"Externo, alquilado",1.0,4.0,7.0,3.0,Sí,Medellín,Almacenamiento de inventarios,Jueves,La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla""",4,5,Carretilla,Motocicleta,3,Motocicleta,2,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,dt,2022-05-19 15:29:49.598,Itecnology,Carrera 52 46 11,3135255009,1,Sí,1.0,1.0,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Accesorios celular,Electrónica,"Externo, alquilado",1.0,1.0,3.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",4,4,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,dt,2022-05-18 12:56:53.427,Perfumes y esencias fraiche,Calle 46 51a 20,3245407572,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Perfumería,Cosméticos y productos de belleza,Interno,1.0,2.0,50.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla"", En vehículo particular",1,1,Ninguno,"Motocicleta, Van",2,"Motocicleta, Van",2,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,dt,2022-05-19 15:38:27.715,Cacharrería el sol,Carrera 52 #46-09,6042311960,4,Sí,2.0,0.5,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Electrodomésticos y hogar,Electrodomésticos,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",4,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,dt,2022-05-19 12:13:06.859,A todo vapor,Cr 53 47 06  megacentro  local 136,No aplica,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle Producción de alimentos,Restaurante Producción de alimentos,Restauración,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",5,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,dt,2022-05-18 13:24:38.560,Metro hogar HYM,Calle 46#51a-40,3122950297,1,No,,0.0,,,,,,,Venta al detalle,Electrodomésticos y hogar,Electrodomésticos,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",3,1,Carretilla,Motocicleta,2,"Motocicleta, Van",1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,dt,2022-05-19 15:44:09.431,Gomelitos shoes kids,Calle 48#51a-51 51,2319582,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle Ropa,Venta de calzado Ropa,Calzado,Interno,1.0,2.0,10.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,1,Carretilla,"Motocicleta, Van",1,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
